Category,Control Requirement
,"1206.09aa2System.23
Auditing is always available while the system is active and tracks key events, success/failed data access, system security configuration changes, privileged or utility use, any alarms raised, activation and de-activation of protection systems (e.g., A/V and IDS), activation and deactivation of identification and authentication mechanisms, and creation and deletion of system-level objects.
"
,"1207.09aa2System.4
Audit records are retained for 90 days and older audit records are archived for one year.
"
,"1208.09aa3System.1
Audit logs are maintained for management activities, system and application startup/shutdown/errors, file changes, and security policy changes.
"
,"1209.09aa3System.2
The information system generates audit records containing the following detailed information: (i) filename accessed; (ii) program or command used to initiate the event; and, (iii) source and destination addresses.
"
,"1210.09aa3System.3
All disclosures of covered information within or outside of the organization are logged including type of disclosure, date/time of the event, recipient, and sender.
"
,"1211.09aa3System.4
The organization verifies every 90 days for each extract of covered information recorded that the data is erased or its use is still required.
"
,"1213.09ab2System.128
Automated systems deployed throughout the organization's environment are used to monitor key events and anomalous activity, and analyze system logs, the results of which are reviewed regularly.
"
,"1214.09ab2System.3456
Monitoring includes privileged operations, authorized access or unauthorized access attempts, including attempts to access deactivated accounts, and system alerts or failures.
"
,"1216.09ab3System.12
Automated systems are used to review monitoring activities of security systems (e.g., IPS/IDS) and system records on a daily basis, and identify and document anomalies.
"
,"1217.09ab3System.3
Alerts are generated for technical personnel to analyze and investigate suspicious activity or suspected violations.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1220.09ab3System.56
Monitoring includes inbound and outbound communications and file integrity monitoring.
"
,"1512.11a2Organizational.8
Intrusion detection/information protection system (IDS/IPS) alerts are utilized for reporting information security events.
"
DE.CM-2:  The physical environment is monitored to detect potential cybersecurity events,"1801.08b1Organizational.124
Visitor and third-party support access is recorded and supervised unless previously approved.
"
,"1802.08b1Organizational.3
Areas where sensitive information (e.g., covered information, payment card data) is stored or processed are controlled and restricted to authorized individuals only.
"
,"1804.08b2Organizational.12
A visitor log containing appropriate information is reviewed monthly and maintained for at least two years.
"
,"1805.08b2Organizational.3
Physical authentication controls are used to authorize and validate access.
"
,"1806.08b2Organizational.4
An audit trail of all physical access is maintained.
"
,"1807.08b2Organizational.56
Visible identification that clearly identifies the individual is required to be worn by employees, visitors, contractors and third-parties.
"
,"1808.08b2Organizational.7
Physical access rights are reviewed every 90 days and updated accordingly.
"
,"1844.08b1Organizational.6
The organization develops, approves and maintains a list of individuals with authorized access to the facility where the information system resides; issues authorization credentials for facility access; reviews the access list and authorization credentials periodically but no less than quarterly; and removes individuals from the facility access list when access is no longer required.
"
,"1845.08b1Organizational.7
For facilities where the information system resides, the organization enforces physical access authorizations at defined entry/exit points to the facility where the information system resides, maintains physical access audit logs, and provides security safeguards that the organization determines necessary for areas officially designated as publicly accessible.
"
,"1846.08b2Organizational.8
Visitors are only granted access for specific and authorized purposes and issued with instructions on the security requirements of the area and on emergency procedures.
"
,"1847.08b2Organizational.910
The organization ensures onsite personnel and visitor identification (e.g., badges) are revoked, updated when access requirements change, or terminated when expired or when access is no longer authorized, and all physical access mechanisms, such as keys, access cards and combinations, are returned, disabled or changed.
"
DE.CM-3:  Personnel activity is monitored to detect potential cybersecurity events,"1109.01b1System.479
User registration and deregistration, at a minimum: (i) communicates relevant policies to users and require acknowledgement (e.g., signed or captured electronically); (ii) checks authorization and minimum level of access necessary prior to granting access; (iii) ensures access is appropriate to the business needs (consistent with sensitivity/risk and does not violate segregation of duties requirements); (iv) addresses termination and transfer; (v) ensures default accounts are removed and/or renamed; (vi) removes or blocks critical access rights of users who have changed roles or jobs; and, (vii) automatically removes or disables inactive accounts.
"
,"1110.01b1System.5
Users are given a written statement of their access rights, which they are required to sign stating they understand the conditions of access. Guest/anonymous, shared/group, emergency and temporary accounts are specifically authorized and use monitored.
"
,"1137.06e1Organizational.1
Acceptable use agreements are signed by all employees before being allowed access to information assets.
"
,"1151.01c3System.1
The organization limits authorization to privileged accounts on information systems to a pre-defined subset of users.
"
,"1152.01c3System.2
The organization audits the execution of privileged functions on information systems and ensures information systems prevent non-privileged users from executing privileged functions.
"
,"1153.01c3System.35
All file system access not explicitly required is disabled, and only authorized users are permitted access to only that which is expressly required for the performance of the users' job duties.
"
,"1154.01c3System.4
Contractors are provided with minimal system and physical access only after the organization assesses the contractor's ability to comply with its security requirements and the contractor agrees to comply.
"
,"1201.06e1Organizational.2
The organization provides notice that the employee's actions may be monitored, and that the employee consents to such monitoring.
"
,"1202.09aa1System.1
A secure audit record is created for all activities on the system (create, read, update, delete) involving covered information.
"
,"1203.09aa1System.2
Audit records include the unique user ID, unique data subject ID, function performed, and date/time the event was performed.
"
,"1204.09aa1System.3
The activities of privileged users (administrators, operators, etc.) include the success/failure of the event, time the event occurred, the account involved, the processes involved, and additional information about the event.
"
,"1205.09aa2System.1
Logs of messages sent and received are maintained including the date, time, origin and destination of the message, but not its contents.
"
,"1206.09aa2System.23
Auditing is always available while the system is active and tracks key events, success/failed data access, system security configuration changes, privileged or utility use, any alarms raised, activation and de-activation of protection systems (e.g., A/V and IDS), activation and deactivation of identification and authentication mechanisms, and creation and deletion of system-level objects.
"
,"1208.09aa3System.1
Audit logs are maintained for management activities, system and application startup/shutdown/errors, file changes, and security policy changes.
"
,"1209.09aa3System.2
The information system generates audit records containing the following detailed information: (i) filename accessed; (ii) program or command used to initiate the event; and, (iii) source and destination addresses.
"
,"1210.09aa3System.3
All disclosures of covered information within or outside of the organization are logged including type of disclosure, date/time of the event, recipient, and sender.
"
,"1231.09c2Organizational.23
Job descriptions define duties and responsibilities that support the separation of duties across multiple users.
"
,"1504.06e1Organizational.34
Management approves the use of information assets and takes appropriate action when unauthorized activity occurs.
"
DE.CM-4:  Malicious code is detected,"0201.09j1Organizational.124
Anti-virus and anti-spyware are installed, operating and updated on all end-user devices to conduct periodic scans of the systems to identify and remove unauthorized software. Server environments for which the server software developer specifically recommends not installing host-based anti-virus and anti-spyware software are addressed via a network-based malware detection (NBMD) solution.
"
,"0202.09j1Organizational.3
Audit logs of the scans are maintained.
"
,"0204.09j2Organizational.1
Scans for malicious software are performed on boot and every 12 hours.
"
,"0205.09j2Organizational.2
Malicious code that is identified is blocked, quarantined, and an alert is sent to the administrators.
"
,"0206.09j2Organizational.34
Anti-malware is centrally managed and cannot be disabled by the users.
"
,"0207.09j2Organizational.56
Centrally-managed, up-to-date anti-spam and anti-malware protection is implemented at information system entry/exit points for the network and on all devices.
"
,"0214.09j1Organizational.6
Protection against malicious code is based on malicious code detection and repair software, security awareness, and appropriate system access and change management controls.
"
,"0215.09j2Organizational.8
The organization addresses the receipt of false positives during malicious code detection and eradication, and the resulting potential impact on the availability of the information system.
"
,"0216.09j2Organizational.9
For systems considered not commonly affected by malicious software, the organization performs periodic assessments to identify and evaluate evolving malware threats to confirm whether such systems continue to not require anti-virus software.
"
,"0217.09j2Organizational.10
The organization configures malicious code and spam protection mechanisms to (i) perform periodic scans of the information system according to organization guidelines; (ii) perform real-time scans of files from external sources at endpoints and network entry/exit points as the files are downloaded, opened, or executed in accordance with organizational security policy; and, (iii) block malicious code, quarantine malicious code, or send an alert to the administrator in response to malicious code detection.
"
,"0226.09k1Organizational.2
The organization has implemented and regularly updates mobile code protection, including anti-virus and anti-spyware.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1416.10l1Organizational.1
Where software development is outsourced, formal contracts are in place to address the ownership and security of the code and application.
"
DE.CM-5:  Unauthorized mobile code is detected,"0225.09k1Organizational.1
Automated controls (e.g., browser settings) are in place to authorize and restrict the use of mobile code (e.g., Java, JavaScript, ActiveX, PDF, postscript, Shockwave movies, and Flash animations).
"
,"0226.09k1Organizational.2
The organization has implemented and regularly updates mobile code protection, including anti-virus and anti-spyware.
"
,"0227.09k2Organizational.12
The organization takes specific actions to protect against mobile code performing unauthorized actions.
"
DE.CM-6:  External service provider activity is monitored to detect potential cybersecurity events,"0835.09n1Organizational.1
Agreed services provided by a network service provider/manager are formally managed and monitored to ensure they are provided securely.
"
,"0885.09n2Organizational.3
The organization reviews and updates the interconnection security agreements on an ongoing basis, verifying enforcement of security requirements.
"
,"1406.05k1Organizational.110
A standard agreement with third-parties is defined and includes the required security controls in accordance with the organization's security policies.
"
,"1407.05k2Organizational.1
The specific limitations of access, arrangements for compliance auditing, penalties, and the requirement for notification of third-party personnel transfers and terminations are identified in the agreement with the third-party.
"
,"1408.09e1System.1
Service Level Agreements (SLAs) or contracts with an agreed service arrangement address liability, service definitions, security controls, and other aspects of services management.
"
,"1410.09e2System.23
The organization addresses information security and other business considerations when acquiring systems or services; including maintaining security during transitions and continuity following a failure or disaster.
"
,"1411.09f1System.1
The results of monitoring activities of third-party services are compared against the Service Level Agreements or contracts at least annually.
"
,"1412.09f2System.12
Regular progress meetings are conducted as required by the SLA to review reports, audit trails, security events, operational issues, failures and disruptions, and identified problems/issues are investigated and resolved accordingly.
"
,"1413.09f2System.3
Network services are periodically audited to ensure that providers have implemented the required security features and meet the requirements agreed with management, including new and existing regulations.
"
,"1417.10l2Organizational.1
Where software development is outsourced, the development process is monitored by the organization and includes independent security and code reviews.
"
,"1430.05k1Organizational.56
The agreement ensures that there is no misunderstanding between the organization and the third-party and satisfies the organization as to the indemnity of the third-party.
"
,"1442.09f2System.456
The organization employs a service management relationship and process between itself and a third-party to monitor: (i) security control compliance by external service providers on an ongoing basis, and (ii) network service features and service levels to detect abnormalities and violations.
"
"DE.CM-7:  Monitoring for unauthorized personnel, connections, devices, and software is performed","0401.01x1System.124579
Mobile computing devices are protected at all times by access controls, usage restrictions, connection requirements, encryption, virus protections, host-based firewalls, or equivalent functionality, secure configurations, and physical protections.
"
,"0403.01x1System.8
The organization monitors for unauthorized connections of mobile devices.
"
,"0603.06g2Organizational.1
Automated compliance tools are used when possible.
"
,"0604.06g2Organizational.2
The organization has developed a continuous monitoring strategy and implemented a continuous monitoring program.
"
,"068.06g2Organizational.34
The organization employs assessors or assessment teams with a level of independence appropriate to its continuous monitoring strategy to monitor the security controls in the information system on an ongoing basis.
"
,"069.06g2Organizational.56
The internal security organization reviews and maintains records of compliance results (e.g., organization-defined metrics) in order to better track security trends within the organization, respond to the results of correlation and analysis, and address longer term areas of concern as part of its formal risk assessment process.
"
,"0885.09n2Organizational.3
The organization reviews and updates the interconnection security agreements on an ongoing basis, verifying enforcement of security requirements.
"
,"1120.09ab3System.9
Unauthorized remote connections to the information systems are monitored and reviewed at least quarterly, and appropriate action is taken if an unauthorized connection is discovered.
"
,"1213.09ab2System.128
Automated systems deployed throughout the organization's environment are used to monitor key events and anomalous activity, and analyze system logs, the results of which are reviewed regularly.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1220.09ab3System.56
Monitoring includes inbound and outbound communications and file integrity monitoring.
"
,"1801.08b1Organizational.124
Visitor and third-party support access is recorded and supervised unless previously approved.
"
,"1803.08b1Organizational.5
Repairs or modifications to the physical components of a facility which are related to security (e.g., hardware, walls, doors and locks) are documented and retained in accordance with the organization's retention policy.
"
,"1804.08b2Organizational.12
A visitor log containing appropriate information is reviewed monthly and maintained for at least two years.
"
,"1844.08b1Organizational.6
The organization develops, approves and maintains a list of individuals with authorized access to the facility where the information system resides; issues authorization credentials for facility access; reviews the access list and authorization credentials periodically but no less than quarterly; and removes individuals from the facility access list when access is no longer required.
"
,"1845.08b1Organizational.7
For facilities where the information system resides, the organization enforces physical access authorizations at defined entry/exit points to the facility where the information system resides, maintains physical access audit logs, and provides security safeguards that the organization determines necessary for areas officially designated as publicly accessible.
"
DE.CM-8:  Vulnerability scans are performed,"0613.06h1Organizational.12
The organization performs annual checks on the technical security configuration of systems, either manually by an individual with experience with the systems and/or with the assistance of automated software tools, and takes appropriate action if non-compliance is found.
"
,"0614.06h2Organizational.12
Technical compliance checks are performed by an experienced specialist with the assistance of industry standard automated tools, which generate a technical report for subsequent interpretation. These checks are performed annually, but more frequently where needed, based on risk as part of an official risk assessment process.
"
,"0615.06h2Organizational.3
Technical compliance checks are used to help support technical interoperability.
"
,"0707.10b2System.1
Applications that store, process, or transmit covered information undergo automated application vulnerability testing by a qualified party on an annual basis.
"
,"0712.10m2Organizational.4
Internal and external vulnerability assessments of covered information systems, virtualized environments, and networked environments, including both network- and application-layer tests, are performed by a qualified individual on a quarterly basis or after significant changes.
"
,"0737.10m2Organizational.9
Information resources—that will be used to identify relevant technical vulnerabilities and to maintain awareness about them—are identified for software and other technology, and the information resources identified are updated based on changes in the inventory, or when other new or useful resources are found.
"
,"0808.10b2System.3
For any public-facing web applications, application-level firewalls have been implemented to control traffic. For any public-facing applications that are not web-based, the organization has implemented a network-based firewall specific to the application type. If the traffic to the public-facing application is encrypted, the device either sits behind the encryption or is capable of decrypting the traffic prior to analysis.
"
DE.DP-1:  Roles and responsibilities for detection are well defined to ensure accountability,"0104.02a1Organizational.12
User security roles and responsibilities are clearly defined and communicated.
"
,"0137.02a1Organizational.3
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance requirements for its human resources security protection program (e.g., through policy, standards, guidelines, and procedures).
"
,"0601.06g1Organizational.124
Annual compliance reviews are conducted by security or audit individuals using manual or automated tools; if non-compliance is found, appropriate action is taken.
"
,"0602.06g1Organizational.3
The results and recommendations of the reviews are documented and approved by management.
"
,"0604.06g2Organizational.2
The organization has developed a continuous monitoring strategy and implemented a continuous monitoring program.
"
,"068.06g2Organizational.34
The organization employs assessors or assessment teams with a level of independence appropriate to its continuous monitoring strategy to monitor the security controls in the information system on an ongoing basis.
"
DE.DP-2:  Detection activities comply with all applicable requirements,"1120.09ab3System.9
Unauthorized remote connections to the information systems are monitored and reviewed at least quarterly, and appropriate action is taken if an unauthorized connection is discovered.
"
,"1212.09ab1System.1
All applicable legal requirements related to monitoring authorized access and unauthorized access attempts are met.
"
,"1213.09ab2System.128
Automated systems deployed throughout the organization's environment are used to monitor key events and anomalous activity, and analyze system logs, the results of which are reviewed regularly.
"
,"1214.09ab2System.3456
Monitoring includes privileged operations, authorized access or unauthorized access attempts, including attempts to access deactivated accounts, and system alerts or failures.
"
,"1215.09ab2System.7
Auditing and monitoring systems employed by the organization support audit reduction and report generation.
"
,"1216.09ab3System.12
Automated systems are used to review monitoring activities of security systems (e.g., IPS/IDS) and system records on a daily basis, and identify and document anomalies.
"
,"1217.09ab3System.3
Alerts are generated for technical personnel to analyze and investigate suspicious activity or suspected violations.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1220.09ab3System.56
Monitoring includes inbound and outbound communications and file integrity monitoring.
"
,"1222.09ab3System.8
The organization analyzes and correlates audit records across different repositories using a security information and event management (SIEM) tool or log analytics tools for log aggregation and consolidation from multiple systems/machines/devices, and correlates this information with input from non-technical sources to gain and enhance organization-wide situational awareness. Using the SIEM tool, the organization devise profiles of common events from given systems/machines/devices so that it can tune detection to focus on unusual activity, avoid false positives, more rapidly identify anomalies, and prevent overwhelming analysts with insignificant alerts.
"
,"1801.08b1Organizational.124
Visitor and third-party support access is recorded and supervised unless previously approved.
"
,"1804.08b2Organizational.12
A visitor log containing appropriate information is reviewed monthly and maintained for at least two years.
"
,"1806.08b2Organizational.4
An audit trail of all physical access is maintained.
"
DE.DP-3:  Detection processes are tested,"12102.09ab1Organizational.4
The organization periodically tests its monitoring and detection processes, remediates deficiencies, and improves its processes.
"
DE.DP-4:  Event detection information is communicated to appropriate parties,"0601.06g1Organizational.124
Annual compliance reviews are conducted by security or audit individuals using manual or automated tools; if non-compliance is found, appropriate action is taken.
"
,"0602.06g1Organizational.3
The results and recommendations of the reviews are documented and approved by management.
"
,"0604.06g2Organizational.2
The organization has developed a continuous monitoring strategy and implemented a continuous monitoring program.
"
,"069.06g2Organizational.56
The internal security organization reviews and maintains records of compliance results (e.g., organization-defined metrics) in order to better track security trends within the organization, respond to the results of correlation and analysis, and address longer term areas of concern as part of its formal risk assessment process.
"
,"1217.09ab3System.3
Alerts are generated for technical personnel to analyze and investigate suspicious activity or suspected violations.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1220.09ab3System.56
Monitoring includes inbound and outbound communications and file integrity monitoring.
"
DE.DP-5:  Detection processes are continuously improved,"0714.10m2Organizational.7
The technical vulnerability management program is evaluated on a quarterly basis.
"
,"12102.09ab1Organizational.4
The organization periodically tests its monitoring and detection processes, remediates deficiencies, and improves its processes.
"
RS.AN-1:  Notifications from detection systems are investigated ,"1120.09ab3System.9
Unauthorized remote connections to the information systems are monitored and reviewed at least quarterly, and appropriate action is taken if an unauthorized connection is discovered.
"
,"1216.09ab3System.12
Automated systems are used to review monitoring activities of security systems (e.g., IPS/IDS) and system records on a daily basis, and identify and document anomalies.
"
,"1217.09ab3System.3
Alerts are generated for technical personnel to analyze and investigate suspicious activity or suspected violations.
"
,"1218.09ab3System.47
Automated systems support near real-time analysis and alerting of events (e.g., malicious code, potential intrusions) and integrate intrusion detection into access and flow control mechanisms.
"
,"1220.09ab3System.56
Monitoring includes inbound and outbound communications and file integrity monitoring.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
RS.AN-2:  The impact of the incident is understood,"1560.11d1Organizational.1
The information gained from the evaluation of information security incidents is used to identify recurring or high-impact incidents, and update the incident response and recovery strategy.
"
RS.AN-3:  Forensics are performed,"1516.11c1Organizational.12
The security incident response program accounts for and prepares the organization for a variety of incidents.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
RS.AN-4:  Incidents are categorized consistent with response plans,"1516.11c1Organizational.12
The security incident response program accounts for and prepares the organization for a variety of incidents.
"
"RS.AN-5:  Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)","

"
RS.CO-1:  Personnel know their roles and order of operations when a response is needed,"1311.12c2Organizational.3
The organization’s employees are provided with crisis management awareness and training.
"
,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1604.12c2Organizational.16789
Alternative storage and processing sites are identified (permanent and/or temporary) at a sufficient distance from the primary facility and configured with security measures equivalent to the primary site, and the necessary third-party service agreements have been established to allow for the resumption of information systems operations of critical business functions within the time period defined (e.g., priority of service provisions) based on a risk assessment, including Recovery Time Objectives (RTO), in accordance with the organization's availability requirements.
"
,"1668.12d1Organizational.67
Emergency procedures, manual ""fallback"" procedures, and resumption plans are the responsibility of the owner of the business resources or processes involved; and fallback arrangements for alternative technical services, such as information processing and communications facilities, are the responsibility of the service providers.
"
,"1669.12d1Organizational.8
The business continuity planning framework addresses a specific, minimal set of information security requirements.
"
,"1672.12d2Organizational.3
The business continuity planning framework addresses the specific, minimal set of information security requirements as well as (i) temporary operational procedures to follow pending completion of recovery and restoration, and (ii) the responsibilities of the individuals, describing who is responsible for executing which component of the plan (alternatives are nominated as required).
"
RS.CO-2:  Events are reported consistent with established criteria,"1216.09ab3System.12
Automated systems are used to review monitoring activities of security systems (e.g., IPS/IDS) and system records on a daily basis, and identify and document anomalies.
"
,"1505.11a1Organizational.13
A formal security incident response program has been established to respond, report (without fear of repercussion), escalate and treat breaches and reported security events or incidents. Organization-wide standards are specified for the time required for system administrators and other personnel to report anomalous events to the incident handling team, the mechanisms for such reporting, and the kind of information that should be included in the incident notification. This reporting includes notifying internal and external stakeholders, the appropriate community Computer Emergency Response Team, and law enforcement agencies in accordance with all legal or regulatory requirements for involving such organizations in computer incidents.
"
,"1506.11a1Organizational.2
There is a point of contact for reporting information security events who is made known throughout the organization, always available, and able to provide adequate and timely response. The organization also maintains a list of third-party contact information (e.g., the email addresses of their information security officers), which can be used to report a security incident.
"
,"1508.11a2Organizational.1
The organization provides a process/mechanism to anonymously report security issues.
"
,"1509.11a2Organizational.236
The incident management program formally defines information security incidents and the phases of incident response; roles and responsibilities; incident handling, reporting and communication processes; third-party relationships and the handling of third-party breaches; and the supporting forensics program. The organization formally assigns job titles and duties for handling computer and network security incidents to specific individuals and identifies management personnel who will support the incident handling process by acting in key decision-making roles.
"
,"1510.11a2Organizational.47
Reports and communications are made without unreasonable delay and no later than 60 days after the discovery of an incident, unless otherwise stated by law enforcement orally or in writing, and include the necessary elements.
"
,"1518.11c2Organizational.13
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its incident management program.
"
,"1519.11c2Organizational.2
For unauthorized disclosures of covered information, a log is maintained and annually submitted to the appropriate parties (e.g., a state, regional or national regulatory agency).
"
RS.CO-3:  Information is shared consistent with response plans,"0711.10m2Organizational.23
A technical vulnerability management program is in place to monitor, assess, rank, and remediate vulnerabilities identified in systems.
"
,"0737.10m2Organizational.9
Information resources—that will be used to identify relevant technical vulnerabilities and to maintain awareness about them—are identified for software and other technology, and the information resources identified are updated based on changes in the inventory, or when other new or useful resources are found.
"
,"1259.09ab2System.9
The organization responds to physical security incidents and coordinates results of reviews and investigations with the organization's incident response capability.
"
,"1505.11a1Organizational.13
A formal security incident response program has been established to respond, report (without fear of repercussion), escalate and treat breaches and reported security events or incidents. Organization-wide standards are specified for the time required for system administrators and other personnel to report anomalous events to the incident handling team, the mechanisms for such reporting, and the kind of information that should be included in the incident notification. This reporting includes notifying internal and external stakeholders, the appropriate community Computer Emergency Response Team, and law enforcement agencies in accordance with all legal or regulatory requirements for involving such organizations in computer incidents.
"
,"1518.11c2Organizational.13
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its incident management program.
"
,"1519.11c2Organizational.2
For unauthorized disclosures of covered information, a log is maintained and annually submitted to the appropriate parties (e.g., a state, regional or national regulatory agency).
"
,"1520.11c2Organizational.4
The incident response plan is communicated to the appropriate individuals throughout the organization.
"
,"1521.11c2Organizational.56
Testing exercises are planned, coordinated, executed, and documented periodically, at least annually, using reviews, analyses, and simulations to determine incident response effectiveness. Testing includes personnel associated with the incident handling team to ensure that they understand current threats and risks, as well as their responsibilities in supporting the incident handling team.
"
,"1539.11c2Organizational.7
Incident response is formally managed and include specific elements.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
,"1562.11d2Organizational.2
The organization coordinates incident handling activities with contingency planning activities.
"
,"1804.08b2Organizational.12
A visitor log containing appropriate information is reviewed monthly and maintained for at least two years.
"
,"1808.08b2Organizational.7
Physical access rights are reviewed every 90 days and updated accordingly.
"
RS.CO-4:  Coordination with stakeholders occurs consistent with response plans,"1412.09f2System.12
Regular progress meetings are conducted as required by the SLA to review reports, audit trails, security events, operational issues, failures and disruptions, and identified problems/issues are investigated and resolved accordingly.
"
,"1517.11c1Organizational.3
There is a point of contact who is responsible for coordinating incident responses and has the authority to direct actions required in all phases of the incident response process.
"
,"1518.11c2Organizational.13
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its incident management program.
"
,"1519.11c2Organizational.2
For unauthorized disclosures of covered information, a log is maintained and annually submitted to the appropriate parties (e.g., a state, regional or national regulatory agency).
"
,"1539.11c2Organizational.7
Incident response is formally managed and include specific elements.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
,"1562.11d2Organizational.2
The organization coordinates incident handling activities with contingency planning activities.
"
,"1601.12c1Organizational.1238
The organization can recover and restore business operations and establish an availability of information in the time frame required by the business objectives and without a deterioration of the security measures.
"
,"1602.12c1Organizational.4567
The contingency program addresses required capacity, identifies critical missions and business functions, defines recovery objectives and priorities, and identifies roles and responsibilities.
"
,"1603.12c1Organizational.9
Copies of the business continuity plans are distributed to key contingency personnel.
"
RS.CO-5:  Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,"1505.11a1Organizational.13
A formal security incident response program has been established to respond, report (without fear of repercussion), escalate and treat breaches and reported security events or incidents. Organization-wide standards are specified for the time required for system administrators and other personnel to report anomalous events to the incident handling team, the mechanisms for such reporting, and the kind of information that should be included in the incident notification. This reporting includes notifying internal and external stakeholders, the appropriate community Computer Emergency Response Team, and law enforcement agencies in accordance with all legal or regulatory requirements for involving such organizations in computer incidents.
"
RS.IM-1:  Response plans incorporate lessons learned,"1560.11d1Organizational.1
The information gained from the evaluation of information security incidents is used to identify recurring or high-impact incidents, and update the incident response and recovery strategy.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
,"1563.11d2Organizational.3
The organization incorporates lessons learned from ongoing incident handling activities and industry developments into incident response procedures, training and testing exercises, and implements the resulting changes accordingly.
"
RS.IM-2:  Response strategies are updated,"1518.11c2Organizational.13
The organization formally addresses the purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities and compliance requirements for its incident management program.
"
,"1520.11c2Organizational.4
The incident response plan is communicated to the appropriate individuals throughout the organization.
"
,"1539.11c2Organizational.7
Incident response is formally managed and include specific elements.
"
,"1560.11d1Organizational.1
The information gained from the evaluation of information security incidents is used to identify recurring or high-impact incidents, and update the incident response and recovery strategy.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
,"1563.11d2Organizational.3
The organization incorporates lessons learned from ongoing incident handling activities and industry developments into incident response procedures, training and testing exercises, and implements the resulting changes accordingly.
"
RS.MI-1:  Incidents are contained,"1516.11c1Organizational.12
The security incident response program accounts for and prepares the organization for a variety of incidents.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
RS.MI-2:  Incidents are mitigated,"1412.09f2System.12
Regular progress meetings are conducted as required by the SLA to review reports, audit trails, security events, operational issues, failures and disruptions, and identified problems/issues are investigated and resolved accordingly.
"
,"1516.11c1Organizational.12
The security incident response program accounts for and prepares the organization for a variety of incidents.
"
,"1561.11d2Organizational.14
The organization has implemented an incident handling capability for security incidents that addresses: (i) policy (setting corporate direction) and procedures defining roles and responsibilities; (ii) incident handling procedures (business and technical); (iii) communication; (iv) reporting and retention; and, (v) references to a vulnerability management program.
"
RS.MI-3:  Newly identified vulnerabilities are mitigated or documented as accepted risks,"0613.06h1Organizational.12
The organization performs annual checks on the technical security configuration of systems, either manually by an individual with experience with the systems and/or with the assistance of automated software tools, and takes appropriate action if non-compliance is found.
"
